id,sentence,label,clean
663_3,"""Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.""",1,plea enabl remov languag code dev center languag histori exampl ever select ru ru ru laguag publish xap store cau tile local show en us default tile local bad
663_4,"""Note: in your .csproj file, there is a SupportedCultures entry like this: <SupportedCultures>de-DE;ru;ru-RU </SupportedCultures> When I removed the ""ru"" language code and published my new xap version, the old xap version still remains in the Store with ""Replaced and unpublished"".""",0,note csproj file supportedcultur entri like supportedcultur de de ru ru ru supportedcultur i remov ru languag code publish new xap version old xap version still remain store replac unpublish
664_1,"""Wich means the new version not fully replaced the old version and this causes me very serious problems: 1.""",0,wich mean new version fulli replac old version cau seriou problem
664_2,"""Some of my users will still receive the old xap version of my app.""",0,user still receiv old xap version app
664_3,"""The store randomly gives the old xap or the new xap version of my app.""",0,store randomli give old xap new xap version app
664_4,"""My app has a WP7 version and a WP8 version XAP in the same submission.""",0,my app wp version wp version xap submiss
664_5,"""The wp7 xap works only on WP7 and the wp8 xap works only for WP8.""",0,wp xap work wp wp xap work wp
665_1,"""Sometimes the Store gives the wrong wp7 xap version of my app to Windows Phone 8 users.""",0,sometim store give wrong wp xap version app window phone user
665_2,"""It should be an option to remove the ""ru"" language code from my app 'language History' or an option to completly replace: Fully replace the prevoius(es) xap(s).""",1,it option remov ru languag code app languag histori option completli replac fulli replac prevoiu es xap
665_3,"""Currently if you ever mistakenly selected a ""ru"" language than you will be in a very bad situation forever: - You can live with the wrong Tile displayed for Russian language in the Store (the english one) or - You can publish an update with the removed ""ru"" language, but this update will not ""fully replace"" the old version and you will in truble: 1.)""",0,current ever mistakenli select ru languag bad situat forev live wrong tile display russian languag store english one publish updat remov ru languag updat fulli replac old version trubl
665_5,"""): the store will randomly deliver the old/wrong version of your xap.""",0,store randomli deliv old wrong version xap
665_6,"""I write a lot support ticket on this, but no one really cares on this issue.""",0,i write lot support ticket one realli care issu
665_7,"""The engineering team can solve this issue if they do one of the following: 1.""",0,engin team solv issu one follow
665_8,"""Provide a workaround for removing the ""ru"" language from the language history (I have no need for ""ru"" culture just for ""ru-ru"", but there is no way to remove ""ru"" from the language history if you ever posted your app with ""ru"" language support) 2.""",1,provid workaround remov ru languag languag histori i need ru cultur ru ru way remov ru languag histori ever post app ru languag support
665_9,"""Or add and implement an AppResLib.dll.xxxx.mui for the ""ru"" language culture In the documentation AppResLib.dll.xxxx.mui exist only for ""ru-ru"" and not for ""ru"" culture: http://msdn.microsoft.com/en-us/library/windowsphone/develop/ff967550(v=vs.105).aspx Thanks, Tom Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.""",1,or add implement appreslib dll xxxx mui ru languag cultur in document appreslib dll xxxx mui exist ru ru ru cultur http msdn microsoft com en us librari windowsphon develop ff v vs aspx thank tom plea enabl remov languag code dev center languag histori exampl ever select ru ru ru laguag publish xap store cau tile local show en us default tile local bad
665_10,"""Wich means the new version not fully replaced the old version and this causes me very serious___ more""",0,wich mean new version fulli replac old version cau seriou
666_1,"""When I driving my car and need to make call at 99% of times the phone use vocal commands for starting bing search instead of call contact.""",0,i drive car need make call time phone use vocal command start bing search instead call contact
667_1,"""But if I press power button and unlock device and open phone and say ""call <person name, device start calling correctly!""",0,i press power button unlock devic open phone say call person name devic start call correctli
667_2,"""This in driving mode activated.""",0,thi drive mode activ
667_3,"""Also in italian translation, after reading sms, the device say ""fatto"" for ending operation but work only if I say ""ho finito"".""",0,also italian translat read sm devic say fatto end oper work i say ho finito
667_4,"""If I say ""fatto"" vocal command unrecognized!""",0,if i say fatto vocal command unrecogn
667_5,"""Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from first upgrade to now is bad.""",0,littl bug lumia first wp upgrad work fine vocal command first upgrad bad
667_6,"""Don't recognize commands.""",0,recogn command
667_7,"""But my old wp7 work fine using same bt sony car stereo!""",0,old wp work fine use bt soni car stereo
667_8,"""Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from___ more""",0,littl bug lumia first wp upgrad work fine vocal command
667_9,"""Outlook color schemes.""",0,outlook color scheme
667_10,"""Settings, current live tile Size , and More""",0,set current live tile size
667_11,"""Open the network + settings and tap on call settings.""",0,open network set tap call set
667_12,"""Hit the power button to go to sleep mode.""",0,hit power button go sleep mode
667_13,"""Wait for 15-20 minutes and switch on the mobile again.""",0,wait minut switch mobil
667_14,"""The window will be blank with only heading on it.""",0,window blank head
667_15,"""100% reproducible on Lumia 920 cyan update.""",0,reproduc lumia cyan updat
668_1,"""I always use this feature, please fix ASAP.""",1,i alway use featur plea fix asap
668_2,"""Seems there is an issue with the sd card in WP 8.1 Preview.""",0,seem issu sd card wp preview
669_1,"""Its getting annoying.Please fix this.""",1,get annoy plea fix
669_2,"""I've been working on an LOB for my field of engineering (civil/structural).""",0,i work lob field engin civil structur
669_3,"""The point is to make the app universal across devices so that our engineers do not have to spend too much time learning and relearning the controls.""",0,point make app univ across devic engin spend much time learn relearn control
669_4,"""And because the same app runs on tablets and PC's, our engineers can work in the field, come back to their office, and continue working with the same data on their PC's.""",0,app run tablet pc engin work field come back offic continu work data pc
670_1,"""Because of windows 8.1 and windows phone 8.1 universal app, I am hoping to adapt the app to windows phone as well.""",0,becau window window phone univ app i hope adapt app window phone well
671_1,"""All the saved and live data are saved on onedrive to allow roaming between the devices.""",0,save live data save onedr allow roam devic
672_1,"""But I've found that windows phone 8.1 file picker does not have access to onedrive and there is no futureaccesslist.""",0,i found window phone file picker access onedr futureaccesslist
672_2,"""This aspect alone prevents any adaptation of my app to the windows phone platform.""",0,thi aspect alon prevent adapt app window phone platform
672_3,"""Please allow windows phone 8.1 file/folder picker to have access to onedrive and store the location in futureaccesslist.""",1,plea allow window phone file folder picker access onedr store locat futureaccesslist
673_1,"""Also, please allow onedrive folder to be stored locally like winrt.""",1,also plea allow onedr folder store local like winrt
673_2,"""Otherwise, it's not a real universal app.""",0,otherwi real univ app
673_3,"""All the saved and live data are___ more""",0,save live data
674_1,"""So far i have tried three different apps and I cannot access my pre windows phone 8.1 photos.""",0,so far tri three differ app i cannot access pre window phone photo
674_2,"""This needs fixing as a number 1 priority.""",1,thi need fix number prioriti
674_3,"""It would be nice to give developers the option put a payment on hold when they reach the appropriate threshold and have the option to put it on top of the next due payment when they reach the threshold after that.""",1,it would nice give develop option put payment hold reach appropri threshold option put top next due payment reach threshold
675_1,"""in wp8.1 dev preview theres a bug with the push service.""",0,wp dev preview bug push servic
676_1,"""when i__m on mobile data connection, i get all my notifications, when i__m on wifi there is no connection to the push server.""",0,mobil data connect get notif wifi connect push server
676_2,"""no i found a workaround for myself, when i turn off the mobile data connection manually the push over wifi works.""",0,found workaround turn mobil data connect manual push wifi work
676_3,"""but on wp 8.0 gdr 3, the system recognized automaticly wich connection i__m using and turn the push service automaticly on cellular or on wifi.""",0,wp gdr system recogn automaticli wich connect use turn push servic automaticli cellular wifi
676_4,"""everytime it works, with wp 8.1 dev preview it doesn__t.""",0,everytim work wp dev preview
676_5,"""When I try to insert a new Bank Account I receive an error because there is a validation that the Bank Account should be in the same Country of my account.""",0,i tri insert new bank account i receiv error valid bank account countri account
676_6,"""I think this is not correct, because using Paypal I can receive money in another country but I don't want pay extra costs for Paypal and also i can insert my tax plan in a country different of my country in my account.""",0,i think correct use paypal i receiv money anoth countri i want pay extra cost paypal also insert tax plan countri differ countri account
676_7,"""Please remove that validation or validate according with my tax plan and not my country in the account.""",1,plea remov valid valid accord tax plan countri account
676_8,""": there is another post that I voted because I can't change the country in my account.""",0,anoth post i vote i chang countri account
676_9,""": there is another post that I voted___ more""",0,anoth post i vote
676_10,"""I did a report on in app purchases today and noticed that every line item shows an app version of 1.0.0 - which most certainly is not the case.""",0,i report app purcha today notic everi line item show app version certainli case
676_11,"""Make Bing Vision lens in the camera app pinnable to Start for quick access again and/or add it to the Cortana screen, to the left of the Music Search button perhaps.""",0,make bing vision len camera app pinnabl start quick access add cortana screen left music search button perhap
676_12,"""In Windows Phone 8 we were able directly access facebook through the people hub.""",0,in window phone abl directli access facebook peopl hub
677_1,"""Comment on photos, write on walls without having to enter the facebook app.""",0,comment photo write wall without enter facebook app
679_1,"""We were also able to switch between text messages and Facebook messages on the fly.""",0,we also abl switch text messag facebook messag fli
679_2,"""Now with WIndows Phone 8.1 the app ALWAYS has to open.""",0,window phone app alway open
679_3,"""On my Lumia 920 it takes significantly longer to do that now.""",0,on lumia take significantli longer
680_1,"""IT'S SLOW!!!!""",0,it s slow
680_2,"""Please bring back the simplicity and efficiency of Windows Phone!""",1,plea bring back simplic effici window phone
680_3,"""While I was building a web application, I've noticed that single page applications with this url: http://www.contoso.com/!#/ will display blank page and only a refresh will load the page again can you please check that?""",1,i build web applic i notic singl page applic url http www contoso com # display blank page refresh load page plea check
680_4,"""It would be great if you would add a RemoteId to the calendars.""",1,it would great would add remoteid calendar
680_5,"""appointments have a RemoteId but calendars don't.""",0,appoint remoteid calendar
681_1,"""It would be easier to sync calendars if they have a RemoteId like appointments.""",0,it would easier sync calendar remoteid like appoint
681_2,"""When the application is unpublished by Microsoft, the reason in sent by email.""",0,applic unpublish microsoft reason sent email
681_3,"""When the email is not received (like in my case) the developer doesn't know the reason.""",0,email receiv like case develop know reason
681_4,"""However this can be easily fixed by writing it in Dev Center.""",0,howev easili fix write dev center
681_5,"""In WinRT, the TileBrush class is missing the TileMode and View* properties that are present in other frameworks like WPF and Silverlight.""",0,in winrt tilebrush class miss tilemod view properti present framework like wpf silverlight
681_6,"""Please add these properties so that we can support image tiling properly.""",1,plea add properti support imag tile properli
681_7,"""There are tons of requests for this over the past years.""",0,ton request past year
681_8,"""See this thread for an example: http://social.msdn.microsoft.com/Forums/windowsapps/en-US/bb5aa859-e3d1-46f2-a661-d4bdbee9a1f2/windowsuixamlmediaimagebrush?forum=winappswithcsharp""",0,see thread exampl http social msdn microsoft com forum windowsapp en us bb aa e f bdbee f windowsuixamlmediaimagebrush forum winappswithcsharp
681_9,"""The Lockscreen text attribute should be separated out from Tile attributes.""",1,lockscreen text attribut separ tile attribut
681_10,"""To provide lockscreen text its necessary to use the WideBackContent attribute on the Flip tile.""",0,to provid lockscreen text necessari use widebackcont attribut flip tile
681_11,"""But - if you have generated a custom tile and/or you don't want the tile to flip, then you cannot use the lockscreen text feature.""",0,gener custom tile want tile flip cannot use lockscreen text featur
682_1,"""I'm trying to use the API for Contacts in the namespace Windows.ApplicationModel.Contacts, but it doesn't work as expected.""",0,i tri use api contact namespac window applicationmodel contact work expect
682_2,"""First of all, on Windows Phone 8.1 I always get an IOException when trying to call PickContactAsync().""",0,first window phone i alway get ioexcept tri call pickcontactasync
682_3,"""This is very strange, since I was expecting to see at least Contacts app to be launched, seems there's some problem establishing the contract.""",0,thi strang sinc i expect see least contact app launch seem problem establish contract
683_1,"""I also checked the Contacts permission was enabled on the Package.appxmanifest.""",0,i also check contact permiss enabl packag appxmanifest
683_2,"""On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is empty), the ImportantDates (e.g.""",0,on window rt che call pickcontactasync work i receiv wrong data insta exampl firstnam lastnam firstnam lastnam empti importantd e g
683_3,"""Birthday) are always set to low values (like 05/05/0004), but if I try to navigate the contacts through Outlook.com or Contacts/People app I can see the right values.""",0,birthday alway set low valu like i tri navig contact outlook com contact peopl app i see right valu
683_4,"""Maybe I'm missing something, but this API seems to be broken.""",0,mayb i miss someth api seem broken
683_5,"""On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is___ more""",0,on window rt che call pickcontactasync work i receiv wrong data insta exampl firstnam lastnam firstnam lastnam
683_6,"""Although it is possible to define custom ETW events, and to generate those events, the publicly available tooling does not currently provide a way to get access to these events.""",0,although possibl defin custom etw event gener event publicli avail tool current provid way get access event
683_7,"""The Windows Phone Developer Power Tools only enable collection of predefined profiles that use certain system events.""",0,window phone develop power tool enabl collect predefin profil use certain system event
683_8,"""There appears to be no way to tell it to collect data from your own custom event sources.""",0,appear way tell collect data custom event sourc
683_9,"""So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesn't appear to be any point to this at the moment because you can't actually record those events in a trace!""",0,so although e g net base store app system diagnost trace eventsourc class avail use gener custom etw event appear point moment actual record event trace
683_10,"""Just to be clear, this is *not* a duplicate of http://wpdev.uservoice.com/forums/110705-dev-platform/suggestions/3743880-please-provide-etw-logging-from-a-windows-phone-8 - as a reply in that thread points out, you can already log ETW events from a WP8 app.""",0,clear duplic http wpdev uservo com forum dev platform suggest plea provid etw log window phone repli thread point alreadi log etw event wp app
684_1,"""What I want is the ability to record those alongside system-provided ETW events, so that I can see how my code's activity fits in with system behaviour.""",1,i want abil record alongsid system provid etw event i see code activ fit system behaviour
684_2,"""So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesn't appear to be any point to this at the moment because you___ more""",0,so although e g net base store app system diagnost trace eventsourc class avail use gener custom etw event appear point moment
684_3,"""Please get back the old OneDrive integration to windows phone 8.1.""",1,plea get back old onedr integr window phone
685_1,"""It used to sync so fast and was able to view the pictures under photo albums easily.""",0,it use sync fast abl view pictur photo album easili
685_2,"""And now the app takes long time to load.""",0,app take long time load
685_3,"""The same happened with Facebook integration.""",0,happen facebook integr
685_4,"""It used to be good on 7.8.""",0,it use good
686_1,"""We could minimize or maximize the pictures but now we can only maximize.""",0,we could minim maxim pictur maxim
