id,sentence,label,clean
663_3,"""Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.""",1,pleas enabl remov languag code from center languag histori exampl ever select laguag publish thi store then caus tile local show default tile local which
663_4,"""Note: in your .csproj file, there is a SupportedCultures entry like this: <SupportedCultures>de-DE;ru;ru-RU </SupportedCultures> When I removed the ""ru"" language code and published my new xap version, the old xap version still remains in the Store with ""Replaced and unpublished"".""",0,note your csproj file there supportedcultur entri like thi supportedcultur supportedcultur when remov languag code publish version version still remain store with replac unpublish
664_1,"""Wich means the new version not fully replaced the old version and this causes me very serious problems: 1.""",0,wich mean version fulli replac version thi caus veri seriou problem
664_2,"""Some of my users will still receive the old xap version of my app.""",0,some user will still receiv version
664_3,"""The store randomly gives the old xap or the new xap version of my app.""",0,store randomli give version
664_4,"""My app has a WP7 version and a WP8 version XAP in the same submission.""",0,version version same submiss
664_5,"""The wp7 xap works only on WP7 and the wp8 xap works only for WP8.""",0,work onli work onli
665_1,"""Sometimes the Store gives the wrong wp7 xap version of my app to Windows Phone 8 users.""",0,sometim store give wrong version window phone user
665_2,"""It should be an option to remove the ""ru"" language code from my app 'language History' or an option to completly replace: Fully replace the prevoius(es) xap(s).""",1,should option remov languag code from languag histori option completli replac fulli replac prevoiu
665_3,"""Currently if you ever mistakenly selected a ""ru"" language than you will be in a very bad situation forever: - You can live with the wrong Tile displayed for Russian language in the Store (the english one) or - You can publish an update with the removed ""ru"" language, but this update will not ""fully replace"" the old version and you will in truble: 1.)""",0,current ever mistakenli select languag than will veri situat forev live with wrong tile display russian languag store english publish updat with remov languag thi updat will fulli replac version will trubl
665_5,"""): the store will randomly deliver the old/wrong version of your xap.""",0,store will randomli deliv wrong version your
665_6,"""I write a lot support ticket on this, but no one really cares on this issue.""",0,write support ticket thi realli care thi issu
665_7,"""The engineering team can solve this issue if they do one of the following: 1.""",0,engin team solv thi issu they follow
665_8,"""Provide a workaround for removing the ""ru"" language from the language history (I have no need for ""ru"" culture just for ""ru-ru"", but there is no way to remove ""ru"" from the language history if you ever posted your app with ""ru"" language support) 2.""",1,provid workaround remov languag from languag histori have need cultur just there remov from languag histori ever post your with languag support
665_9,"""Or add and implement an AppResLib.dll.xxxx.mui for the ""ru"" language culture In the documentation AppResLib.dll.xxxx.mui exist only for ""ru-ru"" and not for ""ru"" culture: http://msdn.microsoft.com/en-us/library/windowsphone/develop/ff967550(v=vs.105).aspx Thanks, Tom Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.""",1,implement appreslib xxxx languag cultur document appreslib xxxx exist onli cultur http msdn microsoft librari windowsphon develop aspx thank pleas enabl remov languag code from center languag histori exampl ever select laguag publish thi store then caus tile local show default tile local which
665_10,"""Wich means the new version not fully replaced the old version and this causes me very serious___ more""",0,wich mean version fulli replac version thi caus veri seriou more
666_1,"""When I driving my car and need to make call at 99% of times the phone use vocal commands for starting bing search instead of call contact.""",0,when drive need make call time phone vocal command start bing search instead call contact
667_1,"""But if I press power button and unlock device and open phone and say ""call <person name, device start calling correctly!""",0,press power button unlock devic open phone call person name devic start call correctli
667_2,"""This in driving mode activated.""",0,thi drive mode activ
667_3,"""Also in italian translation, after reading sms, the device say ""fatto"" for ending operation but work only if I say ""ho finito"".""",0,also italian translat after read devic fatto end oper work onli finito
667_4,"""If I say ""fatto"" vocal command unrecognized!""",0,fatto vocal command unrecogn
667_5,"""Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from first upgrade to now is bad.""",0,other littl bug with lumia befor first upgrad work fine with vocal command from first upgrad
667_6,"""Don't recognize commands.""",0,recogn command
667_7,"""But my old wp7 work fine using same bt sony car stereo!""",0,work fine use same soni stereo
667_8,"""Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from___ more""",0,other littl bug with lumia befor first upgrad work fine with vocal command from more
667_9,"""Outlook color schemes.""",0,outlook color scheme
667_10,"""Settings, current live tile Size , and More""",0,set current live tile size more
667_11,"""Open the network + settings and tap on call settings.""",0,open network set call set
667_12,"""Hit the power button to go to sleep mode.""",0,power button sleep mode
667_13,"""Wait for 15-20 minutes and switch on the mobile again.""",0,wait minut switch mobil again
667_14,"""The window will be blank with only heading on it.""",0,window will blank with onli head
667_15,"""100% reproducible on Lumia 920 cyan update.""",0,reproduc lumia cyan updat
668_1,"""I always use this feature, please fix ASAP.""",1,alway thi featur pleas asap
668_2,"""Seems there is an issue with the sd card in WP 8.1 Preview.""",0,seem there issu with card preview
669_1,"""Its getting annoying.Please fix this.""",1,get annoy pleas thi
669_2,"""I've been working on an LOB for my field of engineering (civil/structural).""",0,been work field engin civil structur
669_3,"""The point is to make the app universal across devices so that our engineers do not have to spend too much time learning and relearning the controls.""",0,point make univers across devic that engin have spend much time learn relearn control
669_4,"""And because the same app runs on tablets and PC's, our engineers can work in the field, come back to their office, and continue working with the same data on their PC's.""",0,becaus same run tablet engin work field come back their offic continu work with same data their
